CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-4550,XFR-100-144-240-2B-T,EA,"XFR,100KVA,14.4/24.9KVY,240/480,2B,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4551,XFR-100-144-277-1B,EA,"XFR,100KVA,14.4/24.9kVY,277,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4552,XFR-100-144-277-1B-T,EA,"XFR,100KVA,14.4/24.9KVY,277/480,1B,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4553,XFR-100-144-480-2B-F,EA,"XFR,100kva,14.4/24.9kvY,480V,2BG,Fact",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4554,XFR-100-199-120-1B,EA,"XFR,100KVA,19.9/34.5kVY,120/240,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4555,XFR-100-199-120-2B,EA,"XFR,100KVA,19.9/34.5kVY,120/240,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4556,XFR-100-199-120CUT-1B,EA,"XFR,100KVA,19.9/34.5kVY,120CUTOVER,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4557,XFR-100-199-240-2B,EA,"XFR,100KVA,19.9/34.5kVY,240/480,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4558,XFR-100-199-277-1B,EA,"XFR,100KVA,19.9/34.5kVY,277,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4559,XFR-100-199-277-1B-T,EA,"XFR,100KVA,19.9/34.5kVY,277,1BG,Tps",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4560,XFR-100-24-12-1B,EA,"XFR,100KVA,4.16gndY/2.4kV,120/240,1BG",XFR-M,N/A,N/A,N/A,$254.17,$187.45,$206.51
CU-4561,XFR-100-24-120-1B,EA,"XFR,100KVA,4.16gndY/2.4kV,120/240,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4562,XFR-100-24-120-2B,EA,"XFR,100kva,2.4/4.1kVY,120/240,2BSHG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4563,XFR-100-24-277-1B,EA,"XFR,100KVA,4.16gndY/2.4kV,277/480V,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4564,XFR-100-72-120-1B,EA,"XFR,100KVA,7.2/12.4kVY,120/240,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4565,XFR-100-72-120-2B,EA,"XFR,100KVA,7.2/12.4kVY,120/240,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4566,XFR-100-72-120-2B-B,EA,"XFR,100KVA,7.2/12.4kVY,120/240,2BG,TS",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4567,XFR-100-72-120-2B-S,EA,"XFR,100KVA,7.2/12.4kVY,120/240,2BG,SS",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4568,XFR-100-72-120CUT-1B,EA,"XFR,100KVA,7.2/12.4kVY,120 CUTOVER,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4569,XFR-100-72-24-2B-T,EA,"XFR,100KVA,7.2/12.4kVY,2400,2BG,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4570,XFR-100-72-240-2B,EA,"XFR,100KVA,7.2/12.4kVY,240/480,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4571,XFR-100-72-240-2B-B,EA,"XFR,100KVA,7.2/12.4kVY,240/480,2BG,TS",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4572,XFR-100-72-277-1B,EA,"XFR,100KVA,7.2/12.4kVY,277,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4573,XFR-100-72-277-1B-S,EA,"XFR,100KVA,7.2/12.4kVY,277,1BG,SS",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4574,XFR-100-72-277-1B-T,EA,"XFR,100KVA,7.2/12.47kVY,277/480,1BG,Taps",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4575,XFR-100-72-277-2B,EA,"XFR,100KVA,7.2/12.4kVY,277,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4576,XFR-100-72-277-2B-B,EA,"XFR,100KVA,7.2/12.4kVY,277,2BG,TS",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4577,XFR-100-76-120-1B,EA,"XFR,100KVA,7.6/13.2kVY,120/240,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4578,XFR-100-76-120-2B,EA,"XFR,100KVA,7.6/13.2kVY,120/240,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4579,XFR-100-76-120-2B-T,EA,"XFR,100kva,7.6/13.2kVY,120/240,2BG,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4580,XFR-100-76-120CUT-1B,EA,"XFR,100KVA,7.6/13.2kVY,120 CUTOVER,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4581,XFR-100-76-240-2B,EA,"XFR,100KVA,7.6/13.2kVY,240/480,2BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4582,XFR-100-76-277-1B,EA,"XFR,100KVA,7.6/13.2kVY,277,1BG",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4583,XFR-100-76-277-1B-T,EA,"XFR,100KVA,7.6/13.2kVY,277,1BG,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4584,XFR-15-144-120-1B,EA,"XFR,15KVA,14.4/24.9kVY,120/240,1B",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4585,XFR-15-144-120-1B-T,EA,"XFR,15KVA,14.4/24.9kVY,120/240,1B,TP",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4586,XFR-15-144-120-2B-T,EA,"XFR,15KVA,14.4/24.9kVY,120/240,2B,TP",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4587,XFR-15-144-120CUT-1B,EA,"XFR,15KVA,14.4/24.9kVY,120CUTOVER,1B",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4588,XFR-15-144-240-2B-T,EA,"XFR,15KVA,14.4/24.9KVY,2B,TP",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4589,XFR-15-199-120-1B,EA,"XFR,15KVA,19.9/34.5kVY,120/240,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4590,XFR-15-199-120-2B,EA,"XFR,15KVA,19.9/34.5kVY,120/240,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4591,XFR-15-199-240-2B,EA,"XFR,15KVA,19.9/34.5kVY,240/480,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4592,XFR-15-199-277-1B,EA,"XFR,15KVA,19.9/34.5kVY,277,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4593,XFR-15-199-277-1B-T,EA,"XFR,15KVA,19.9/34.5kVY,277,1BG,Tps",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
